legacyId,name,description,mainImage,published,finishLegacyId,finishName,finishImage,price,costPrice,sourceVendor,sourceSku,sourceUrl,sourceProductId,sourcePriceRsd,inStock
europrofil-o04c0006190,ORN N 160 ruč.7836-T crna,Europrofil art. O04C0006190,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna-2.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna-2.webp,228,0,europrofil,O04C0006190,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8D7836-t-crna-6190,19758,227.70,true
europrofil-o04c0006193,ORN N 192 ruč.7834-L bela,Europrofil art. O04C0006193,https://www.europrofil.rs/upload/compres/1657098458.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1657098458.webp,243,0,europrofil,O04C0006193,https://www.europrofil.rs/proizvod/orn-n-192-ru%C4%8D7834-l-bela-6193,19760,242.88,false
europrofil-o04c0006194,ORN N 192 ruč.7834-L crna,Europrofil art. O04C0006194,https://www.europrofil.rs/upload/compres/1652775596.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652775596.webp,243,0,europrofil,O04C0006194,https://www.europrofil.rs/proizvod/orn-n-192-ru%C4%8D7834-l-crna-6194,19761,242.88,false
europrofil-o04c0006196,ORN N 192 ruč.7836-T bela,Europrofil art. O04C0006196,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-3.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-3.webp,258,0,europrofil,O04C0006196,https://www.europrofil.rs/proizvod/orn-n-192-ru%C4%8D7836-t-bela-6196,19763,258.06,true
europrofil-o04c0006198,ORN N 192 ruč.7836-T crna,Europrofil art. O04C0006198,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna-3.webp,true,crna,Crna,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20crna-3.webp,258,0,europrofil,O04C0006198,https://www.europrofil.rs/proizvod/orn-n-192-ru%C4%8D7836-t-crna-6198,19765,258.06,true
europrofil-o04c0006192,ORN N 256 ruč.7834-L bela,Europrofil art. O04C0006192,https://www.europrofil.rs/upload/compres/1652869131.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1652869131.webp,283,0,europrofil,O04C0006192,https://www.europrofil.rs/proizvod/orn-n-256-ru%C4%8D7834-l-bela-6192,19767,282.90,false
europrofil-o04c0006208,ORN N 256 ruč.7836-T bela,Europrofil art. O04C0006208,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-4.webp,true,bela,Bela,https://www.europrofil.rs/upload/Product/Image/2019-01/compres/ORN%20N%207836-T%20bela-4.webp,326,0,europrofil,O04C0006208,https://www.europrofil.rs/proizvod/orn-n-256-ru%C4%8D7836-t-bela-6208,19768,326.38,true
europrofil-o04c0006209,ORN N 256 ruč.7834-L crna,Europrofil art. O04C0006209,https://www.europrofil.rs/upload/compres/1652869271.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652869271.webp,311,0,europrofil,O04C0006209,https://www.europrofil.rs/proizvod/orn-n-256-ru%C4%8D7834-l-crna-6209,19769,311.20,false
europrofil-o04a0006352,ORN N ruč.230/240mm AL SM,Europrofil art. O04A0006352,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6352.webp,true,sm,SM,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6352.webp,817,0,europrofil,O04A0006352,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D230240mm-al-sm-6352,19906,816.51,true
europrofil-o04a0006353,ORN N ruč.230/240mm AL SB,Europrofil art. O04A0006353,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6353.webp,true,sb,SB,https://www.europrofil.rs/upload/Product/Image/2018-08/compres/6353.webp,893,0,europrofil,O04A0006353,https://www.europrofil.rs/proizvod/orn-n-ru%C4%8D230240mm-al-sb-6353,19907,893.16,true
